Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
6010637;98401;Coeloglossum viride × Dactylorhiza maculata;grönkulla × fläcknycklar;Hybrid;3;Jordbrukslandskap (J) - Stor betydelse;NA;
223596;98402;Coeloglossum viride × Dactylorhiza maculata subsp. fuchsii;grönkulla × skogsnycklar;Hybrid;1;Jordbrukslandskap (J) - Stor betydelse;NA;
223602;98403;Coeloglossum viride × Dactylorhiza maculata subsp. maculata;grönkulla × Jungfru Marie nycklar;Hybrid;1;Jordbrukslandskap (J) - Stor betydelse;NA;
264957;98404;Coeloglossum viride × Dactylorhiza majalis subsp. lapponica;grönkulla × sumpnycklar;Hybrid;0;;NA;
223606;98405;Coeloglossum viride × Platanthera chlorantha;grönkulla × grönvit nattviol;Hybrid;1;Jordbrukslandskap (J) - Stor betydelse;NA;
223573;98406;Dactylorhiza incarnata var. cruenta × Gymnadenia conopsea;blodnycklar × brudsporre;Hybrid;2;Våtmark (V) - Stor betydelse;NA;
223579;98407;Dactylorhiza incarnata var. incarnata × Gymnadenia conopsea;äkta ängsnycklar × brudsporre;Hybrid;3;Våtmark (V) - Stor betydelse;NA;
6010638;98408;Dactylorhiza incarnata × Gymnadenia conopsea;ängsnycklar × brudsporre;Hybrid;4;Våtmark (V) - Stor betydelse;NA;
6010642;98409;Dactylorhiza maculata × Gymnadenia conopsea;fläcknycklar × brudsporre;Hybrid;10;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;NA;
223592;98410;Dactylorhiza maculata subsp. fuchsii × Gymnadenia conopsea;skogsnycklar × brudsporre;Hybrid;3;Våtmark (V) - Stor betydelse;NA;
223593;98411;Dactylorhiza maculata subsp. fuchsii × Gymnadenia odoratissima;skogsnycklar × luktsporre;Hybrid;0;Våtmark (V) - Stor betydelse;NA;
223598;98412;Dactylorhiza maculata subsp. maculata × Gymnadenia conopsea;Jungfru Marie nycklar × brudsporre;Hybrid;7;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;NA;
223587;98413;Dactylorhiza majalis subsp. lapponica × Gymnadenia conopsea;sumpnycklar × brudsporre;Hybrid;3;Våtmark (V) - Stor betydelse;NA;
223611;98414;Gymnadenia conopsea × Platanthera bifolia;brudsporre × nattviol;Hybrid;0;Jordbrukslandskap (J) - Stor betydelse;NA;
223612;98415;Gymnadenia conopsea × Pseudorchis albida;brudsporre × vityxne;Hybrid;5;Jordbrukslandskap (J) - Stor betydelse;NA;
223613;98416;Gymnadenia conopsea × Pseudorchis straminea;brudsporre × fjällyxne;Hybrid;2;Våtmark (V) - Stor betydelse;NA;
888;98468;Iris spuria;dansk iris;Art;402;Havsstrand (H) - Stor betydelse;VU;B1ab(ii,iii,v)+2ab(ii,iii,v)
31;98508;Allium carinatum;rosenlök;Art;727;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse, Havsstrand (H) - Har betydelse;NT;B2a
32;98521;Allium lineare;klipplök;Art;1682;Jordbrukslandskap (J) - Stor betydelse;EN;B1ab(iii,v)
223563;98536;Allium schoenoprasum var. alvarense;alvargräslök;Varietet;1886;Jordbrukslandskap (J) - Stor betydelse;NE;
61;98604;Anthericum liliago;stor sandlilja;Art;2207;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse;EN;B2ab(iii,v)
219763;98605;Anthericum ramosum;liten sandlilja;Art;3983;Jordbrukslandskap (J) - Stor betydelse;LC;
222812;98621;Convallaria majalis;liljekonvalj;Art;54589;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;LC;
222857;98653;Maianthemum bifolium;ekorrbär;Art;57627;Skog (S) - Stor betydelse;LC;
219878;98680;Polygonatum multiflorum;storrams;Art;13644;Skog (S) - Stor betydelse;LC;
219879;98681;Polygonatum odoratum;getrams;Art;19565;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;LC;
219880;98682;Polygonatum verticillatum;kransrams;Art;8242;Skog (S) - Stor betydelse;LC;
892;98833;Juncus anceps;svarttåg;Art;178;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;CR;B1ab(iv,v)
224779;98841;Juncus balticus;östersjötåg;Art;2821;Havsstrand (H) - Stor betydelse;LC;
893;98848;Juncus capitatus;huvudtåg;Art;927;Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse, Urban miljö (U) - Har betydelse, Våtmark (V) - Har betydelse;EN;B2ab(ii,iii,iv,v)
222529;98849;Juncus castaneus;bruntåg;Art;613;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
222541;98869;Juncus squarrosus;borsttåg;Art;6488;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse, Våtmark (V) - Har betydelse;NT;A2b
222542;98870;Juncus stygius;dytåg;Art;3966;Våtmark (V) - Stor betydelse;LC;
222546;98874;Juncus triglumis;lapptåg;Art;1354;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
