_id,Damage,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,HOSTS ID,Insect Author,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Lab Rearing,Location
99805,on,Cistaceae,Cistus,salviifolius,,99805,Zeller,Pterophoridae,Stangeia,siceliota,,,Europe
100191,,Rosaceae,Malus,pumila,,100191,Zeller,Pyralidae,Acrobasis,indigenella,,,Nearctic
99809,,Dipsacaceae,,,,99809,,Pterophoridae,Stenoptilia,,,,Europe
101505,in rootstock/stems,Gramineae,Phragmites,,,101505,Hübner,Pyralidae,Chilo,phragmitella,,,British Isles
99811,,Scrophulariaceae,,,,99811,,Pterophoridae,Stenoptilia,,,,Europe
100194,,Rosaceae,Prunus,avium,,100194,Zeller,Pyralidae,Acrobasis,indigenella,,,Nearctic
100538,,Rosaceae,Prunus,,,100538,Dyar,Pyralidae,Ambesa,walsinghami,mirabella,,Nearctic
99814,in/on,Scrophulariaceae,Antirrhinum,,,99814,Zeller,Pterophoridae,Stenoptilia,aridus,,,British Isles
100554,,Leguminosae (C),Cassia,grandis,,100554,Walker,Pyralidae,Amyelois,transitella,,,Nearctic
99820,in/on,Dipsacaceae,Knautia,,,99820,Scopoli,Pterophoridae,Stenoptilia,bipunctidactyla,,,British Isles
100198,,Rosaceae,Pyrus,,,100198,Zeller,Pyralidae,Acrobasis,indigenella,,,Nearctic
100557,,Rutaceae,Citrus,,,100557,Walker,Pyralidae,Amyelois,transitella,,,Nearctic
99824,in shoots,Gentianaceae,Gentianella,quinquefolia,,99824,Walsingham,Pterophoridae,Stenoptilia,exclamationis,,,Nearctic
100206,on leaves,Rosaceae,Cydonia,oblonga,,100206,Zeller,Pyralidae,Acrobasis,indigenella,,,Nearctic
100559,,Rutaceae,Citrus,X paradisi,,100559,Walker,Pyralidae,Amyelois,transitella,,,Nearctic
99832,,Scrophulariaceae,Veronica,,,99832,Linnaeus,Pterophoridae,Stenoptilia,pterodactyla,,,Nearctic
100213,,Juglandaceae,Carya,,,100213,le Baron,Pyralidae,Acrobasis,juglandis,,,Nearctic
99833,in/on flowers/shoots/stems,Scrophulariaceae,Veronica,chamaedrys,,99833,Linnaeus,Pterophoridae,Stenoptilia,pterodactyla,,,British Isles
100215,,Juglandaceae,Carya,cordiformis,,100215,le Baron,Pyralidae,Acrobasis,juglandis,,,Nearctic
99835,in/on,Dipsacaceae,Scabiosa,,,99835,Gregson,Pterophoridae,Stenoptilia,scabiodactylus,,,British Isles
100220,,Juglandaceae,Juglans,cinerea,,100220,le Baron,Pyralidae,Acrobasis,juglandis,,,Nearctic
100224,,Juglandaceae,Juglans,nigra,,100224,le Baron,Pyralidae,Acrobasis,juglandis,,,Nearctic
100604,,Rosaceae,Prunus,persica,,100604,Walker,Pyralidae,Amyelois,transitella,,,Nearctic
100228,on buds/flowers/leaves,Juglandaceae,Carya,,,100228,le Baron,Pyralidae,Acrobasis,juglandis,,,Nearctic
100230,on buds/flowers/leaves,Juglandaceae,Juglans,cinerea,,100230,le Baron,Pyralidae,Acrobasis,juglandis,,,Nearctic
99853,,Scrophulariaceae,Castilleja,latifolia,,99853,Walsingham,Pterophoridae,Stenoptilodes,albiciliata,,,Nearctic
100237,,Juglandaceae,Carya,cordiformis,,100237,Dyar,Pyralidae,Acrobasis,kearfottella,,,Nearctic
99866,on stalks,Scrophulariaceae,Castilleja,lutescens,,99866,Barnes & Lindsey,Pterophoridae,Stenoptilodes,maea,,,Nearctic
100243,,Corylaceae,Ostrya,virginiana,,100243,Neunzig,Pyralidae,Acrobasis,kylesi,,,Nearctic
100639,,Leguminosae (C),Senna,alata,,100639,Zeller,Pyralidae,Anabasis,ochrodesma,,,Nearctic
100251,,Fagaceae,Quercus,laevis,,100251,Ragonot,Pyralidae,Acrobasis,minimella,,,Nearctic
100258,,Corylaceae,Corylus,americana,,100258,Dyar,Pyralidae,Acrobasis,normella,,,Nearctic
100664,on,Scrophulariaceae,Verbascum,thapsus,,100664,Denis & Schiff.,Pyralidae,Anania,verbascalis,,,British Isles
99890,,Ericaceae,Arctostaphylos,columbiana,,99890,,Pterophoridae,Trichoptilus,,,,Nearctic
100269,,Juglandaceae,,,,100269,Ragonot,Pyralidae,Acrobasis,palliolella,,,Nearctic
100273,,Juglandaceae,Carya,illinoinensis,,100273,Ragonot,Pyralidae,Acrobasis,palliolella,,,Nearctic
99897,,Guttiferae,Hypericum,,,99897,Fitch,Pterophoridae,Trichoptilus,lobidactylus,,,Nearctic
99902,,Rosaceae,Horkelia,californica,,99902,Lange,Pterophoridae,Trichoptilus,potentellus,,,Nearctic
100287,,Betulaceae,Alnus,incana,rugosa,100287,Packard,Pyralidae,Acrobasis,rubrifasciella,,,Nearctic
100288,,Betulaceae,Alnus,serrulata,,100288,Packard,Pyralidae,Acrobasis,rubrifasciella,,,Nearctic
100693,on,Gramineae,,,,100693,Hübner,Pyralidae,Ancylolomia,tentaculella,,,British Isles
99938,,Elatinaceae,Elatine,,,99938,Olivier,Pyralidae,Acentria,nivea,,,Nearctic
100304,,Juglandaceae,Carya,,,100304,Dyar,Pyralidae,Acrobasis,stigmella,,,Nearctic
101670,,Gramineae,Festuca,rubra,,101670,Zeller,Pyralidae,Chrysoteuchia,topiaria,,,Nearctic
100305,,Juglandaceae,Carya,alba,,100305,Dyar,Pyralidae,Acrobasis,stigmella,,,Nearctic
100309,,Juglandaceae,Juglans,regia,,100309,Dyar,Pyralidae,Acrobasis,stigmella,,,Nearctic
100313,,Corylaceae,Ostrya,virginiana,,100313,Ely,Pyralidae,Acrobasis,sylviella,,,Nearctic
100316,,Rosaceae,Malus,pumila,,100316,Grote,Pyralidae,Acrobasis,tricolorella,,,Nearctic
100329,in buds/fruits/on leaves,Rosaceae,Prunus,armeniaca,,100329,Grote,Pyralidae,Acrobasis,tricolorella,,,Nearctic
100734,,Gramineae,,,,100734,Hübner,Pyralidae,Anerastia,lotella,,,Germany
100349,in fruits,Ericaceae,Vaccinium,macrocarpon,,100349,Riley,Pyralidae,Acrobasis,vaccinii,,,Nearctic
100735,,Gramineae,Triticum,,,100735,Hübner,Pyralidae,Anerastia,lotella,,,Germany
100354,,Cornaceae,Nyssa,sylvatica,,100354,Dyar,Pyralidae,Actrix,nyssaecolella,,,Nearctic
100381,in,Araceae,Cryptocoryne,,,100381,Hampson,Pyralidae,Agassiziella,angulipennis,,,British Isles
100391,,Leguminosae (P),Erythrina,crista-galli,,100391,Guenée,Pyralidae,Agathodes,designalis,,,Nearctic
100031,on leaves,Leguminosae (P),Trifolium,,,100031,Guenée,Pyralidae,Achyra,rantalis,,,Nearctic
100035,,Chenopodiaceae,Beta,vulgaris,,100035,Guenée,Pyralidae,Achyra,similalis,,,Nearctic
100043,,Juglandaceae,Carya,,,100043,Neunzig,Pyralidae,Acrobasis,alyi,,,Nearctic
100050,,Juglandaceae,Carya,alba,,100050,Grote,Pyralidae,Acrobasis,angusella,,,Nearctic
101353,on,Musci,,,,101353,Denis & Schiff.,Pyralidae,Catoptria,falsella,,,British Isles
100798,on,Musci,Brachythecium,albicans,,100798,Joannis,Pyralidae,Aphomia,zelleri,,,British Isles
101362,on,Cyperaceae,Eriophorum,vaginatum,,101362,Linnaeus,Pyralidae,Catoptria,pinella,,,British Isles
100802,in fungi on,Salicaceae,Populus,,,100802,Hulst,Pyralidae,Apomyelois,bistriatella,,,Nearctic
100806,on,Fungi,Daldinia,,,100806,Hulst,Pyralidae,Apomyelois,bistriatella,,,British Isles
100074,,Betulaceae,Betula,nigra,,100074,Neunzig,Pyralidae,Acrobasis,betulivorella,,,Nearctic
100077,,Tamaricaceae,Tamarix,,,100077,Zeller,Pyralidae,Acrobasis,bithynella,,,Italy
101369,,Convolvulaceae,Cuscuta,gronovii,,101369,Dyar,Pyralidae,Caudellia,apyrella,,,Nearctic
100079,,Fagaceae,Quercus,,,100079,Neunzig,Pyralidae,Acrobasis,blanchardorum,,,Nearctic
